Nom du produit,Essence,Taux,PMP/sem,Code
SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-16'_240,SAPIN,8.81,282977.2,0204203MVBL-16'_240
SAPIN 02X06 3&MEIL VERT BRUT LATTE NEMB-16'_160,SAPIN,7.25,232870,0206203MVBL-16'_160
SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-12'_240,SAPIN,7.04,226124.8,0204203MVBL-12'_240
SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-10'_240,SAPIN,6.79,218094.8,0204203MVBL-10'_240
SAPIN 04X04 3&MEIL VERT BRUT LATTE NEMB-16'_120,SAPIN,4.45,142934,0404203MVBL-16'_120
SAPIN 04X04 3&MEIL VERT BRUT LATTE NEMB-12'_120,SAPIN,3.61,115953.2,0404203MVBL-12'_120
EPINETTE 02X10 3&MEIL VERT BRUT LATTE NEMB-16'_100,EPINETTE,3.39,108886.8,0210103MVBL-16'_100
EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-10'_240,EPINETTE,3.07,98608.4,0204103MVBL-10'_240
SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-14'_240,SAPIN,2.74,88008.8,0204203MVBL-14'_240
SAPIN 5/4X06 3&MEIL VERT BRUT LATTE NEMB-16'_200,SAPIN,2.68,86081.6,5406203MVBL-16'_200
SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-8'_240,SAPIN,2.6,83512,0204203MVBL-8'_240
SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-9'_240,SAPIN,2.43,78051.6,0204203MVBL-9'_240
EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-12'_240,EPINETTE,2.09,67130.8,0204103MVBL-12'_240
SAPIN 01X04 3&MEIL VERT BRUT LATTE NEMB-16'_348,SAPIN,1.94,62312.8,0104203MVBL-16'_348
SAPIN 02X06 3&MEIL VERT BRUT LATTE NEMB-12'_160,SAPIN,1.81,58137.2,0206203MVBL-12'_160
SAPIN 02X06 3&MEIL VERT BRUT LATTE NEMB-14'_160,SAPIN,1.78,57173.6,0206203MVBL-14'_160
SAPIN 01X04 3&MEIL VERT BRUT LATTE NEMB-12'_348,SAPIN,1.76,56531.2,0104203MVBL-12'_348
SAPINLOU 02X04 3&MEIL VERT BRUT LATTE NEMB-12'_240,SAPINLOU,1.71,54925.2,0204213MVBL-12'_240
SAPIN 01X04 3&MEIL VERT BRUT LATTE NEMB-10'_348,SAPIN,1.68,53961.6,0104203MVBL-10'_348
SAPINLOU 02X04 3&MEIL VERT BRUT LATTE NEMB-10'_240,SAPINLOU,1.47,47216.4,0204213MVBL-10'_240
SAPIN 04X04 3&MEIL VERT BRUT LATTE NEMB-10'_120,SAPIN,1.33,42719.6,0404203MVBL-10'_120
SAPIN 01X04 3&MEIL VERT BRUT LATTE NEMB-14'_348,SAPIN,1.29,41434.8,0104203MVBL-14'_348
SAPIN 02X06 3&MEIL VERT BRUT LATTE NEMB-10'_160,SAPIN,1.22,39186.4,0206203MVBL-10'_160
SAPINLOU 02X04 3&MEIL VERT BRUT LATTE NEMB-16'_240,SAPINLOU,1.17,37580.4,0204213MVBL-16'_240
SAPIN 01X04 3&MEIL VERT BRUT LATTE NEMB-8'_348,SAPIN,1.07,34368.4,0104203MVBL-8'_348
EPINETTE 02X10 3&MEIL VERT BRUT LATTE NEMB-12'_100,EPINETTE,1.02,32762.4,0210103MVBL-12'_100
EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-8'_240,EPINETTE,1.02,32762.4,0204103MVBL-8'_240
EPINETTE 02X10 3&MEIL VERT BRUT LATTE NEMB-14'_100,EPINETTE,1.01,32441.2,0210103MVBL-14'_100
SAPIN 01X03 3&MEIL VERT BRUT LATTE NEMB-10'_464,SAPIN,0.98,31477.6,0103203MVBL-10'_464
