Nom du produit,Essence,Taux,PMP/sem,Code
EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-16'_240,EPINETTE,9.91,318309.2,0204103MVBL-16'_240
EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-12'_240,EPINETTE,7.77,249572.4,0204103MVBL-12'_240
EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-10'_240,EPINETTE,7.65,245718,0204103MVBL-10'_240
EPINETTE 02X08 3&MEIL VERT BRUT LATTE NEMB-16'_120,EPINETTE,5.49,176338.8,0208103MVBL-16'_120
SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-10'_240,SAPIN,5.31,170557.2,0204203MVBL-10'_240
EPINETTE 02X06 3&MEIL VERT BRUT LATTE NEMB-16'_160,EPINETTE,5.24,168308.8,0206103MVBL-16'_160
EPINETTE 5/4X06 3&MEIL VERT BRUT LATTE NEMB-16'_200,EPINETTE,4.75,152570,5406103MVBL-16'_200
EPINETTE 02X10 3&MEIL VERT BRUT LATTE NEMB-16'_100,EPINETTE,3.99,128158.8,0210103MVBL-16'_100
EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-8'_240,EPINETTE,2.76,88651.2,0204103MVBL-8'_240
SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-12'_240,SAPIN,2.66,85439.2,0204203MVBL-12'_240
EPINETTE 02X06 3&MEIL VERT BRUT LATTE NEMB-10'_160,EPINETTE,2.22,71306.4,0206103MVBL-10'_160
EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-9'_240,EPINETTE,2.21,70985.2,0204103MVBL-9'_240
EPINETTE 02X06 3&MEIL VERT BRUT LATTE NEMB-12'_160,EPINETTE,2.17,69700.4,0206103MVBL-12'_160
EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-14'_240,EPINETTE,1.71,54925.2,0204103MVBL-14'_240
EPINETTE 01X04 3&MEIL VERT BRUT LATTE NEMB-16'_348,EPINETTE,1.49,47858.8,0104103MVBL-16'_348
EPINETTE 02X06 3&MEIL VERT BRUT LATTE NEMB-14'_160,EPINETTE,1.47,47216.4,0206103MVBL-14'_160
SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-9'_240,SAPIN,1.37,44004.4,0204203MVBL-9'_240
EPINETTE 01X04 3&MEIL VERT BRUT LATTE NEMB-10'_348,EPINETTE,1.27,40792.4,0104103MVBL-10'_348
EPINETTE 01X04 3&MEIL VERT BRUT LATTE NEMB-12'_348,EPINETTE,1.22,39186.4,0104103MVBL-12'_348
EPINETTE 5/4X06 3&MEIL VERT BRUT LATTE NEMB-12'_200,EPINETTE,1.21,38865.2,5406103MVBL-12'_200
EPINETTE 01X04 3&MEIL VERT BRUT LATTE NEMB-8'_348,EPINETTE,0.98,31477.6,0104103MVBL-8'_348
EPINETTE 02X08 3&MEIL VERT BRUT LATTE NEMB-14'_120,EPINETTE,0.87,27944.4,0208103MVBL-14'_120
SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-16'_240,SAPIN,0.84,26980.8,0204203MVBL-16'_240
SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-8'_240,SAPIN,0.84,26980.8,0204203MVBL-8'_240
EPINETTE 02X08 3&MEIL VERT BRUT LATTE NEMB-12'_120,EPINETTE,0.81,26017.2,0208103MVBL-12'_120
EPINETTE 01X03 3&MEIL VERT BRUT LATTE NEMB-8'_464,EPINETTE,0.79,25374.8,0103103MVBL-8'_464
EPINETTE 01X03 3&MEIL VERT BRUT LATTE NEMB-10'_464,EPINETTE,0.76,24411.2,0103103MVBL-10'_464
EPINETTE 02X10 3&MEIL VERT BRUT LATTE NEMB-12'_100,EPINETTE,0.73,23447.6,0210103MVBL-12'_100
EPINETTE 01X04 3&MEIL VERT BRUT LATTE NEMB-14'_348,EPINETTE,0.71,22805.2,0104103MVBL-14'_348
SAPIN 02X03 3&MEIL VERT BRUT LATTE NEMB-10'_320,SAPIN,0.7,22484,0203203MVBL-10'_320
SAPINLOU 02X04 3&MEIL VERT BRUT LATTE NEMB-10'_240,SAPINLOU,0.7,22484,0204213MVBL-10'_240
EPINETTE 02X10 3&MEIL VERT BRUT LATTE NEMB-14'_100,EPINETTE,0.68,21841.6,0210103MVBL-14'_100
EPINETTE 02X06 3&MEIL VERT BRUT LATTE NEMB-9'_160,EPINETTE,0.68,21841.6,0206103MVBL-9'_160
EPINETTE 03X03 3&MEIL VERT BRUT LATTE NEMB-10'_180,EPINETTE,0.64,20556.8,0303103MVBL-10'_180
EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-10'_320,EPINETTE,0.64,20556.8,0203103MVBL-10'_320
EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-6'_240,EPINETTE,0.63,20235.6,0204103MVBL-6'_240
EPINETTE 01X03 3&MEIL VERT BRUT LATTE NEMB-12'_464,EPINETTE,0.59,18950.8,0103103MVBL-12'_464
EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-16'_320,EPINETTE,0.56,17987.2,0203103MVBL-16'_320
SAPIN 02X06 3&MEIL VERT BRUT LATTE NEMB-16'_160,SAPIN,0.56,17987.2,0206203MVBL-16'_160
EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-7'_240,EPINETTE,0.53,17023.6,0204103MVBL-7'_240
SAPINLOU 02X04 3&MEIL VERT BRUT LATTE NEMB-12'_240,SAPINLOU,0.49,15738.8,0204213MVBL-12'_240
EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-16'_232,EPINETTE,0.47,15096.4,0106103MVBL-16'_232
EPINETTE 01X03 3&MEIL VERT BRUT LATTE NEMB-16'_464,EPINETTE,0.45,14454,0103103MVBL-16'_464
EPS 02X04 3&MEIL VERT BRUT NONLATTE NEMB-5'_528,EPS,0.45,14454,0204013MVBN-5'_528
SAPIN 02X06 3&MEIL VERT BRUT LATTE NEMB-12'_160,SAPIN,0.42,13490.4,0206203MVBL-12'_160
EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-12'_320,EPINETTE,0.42,13490.4,0203103MVBL-12'_320
EPS 02X03 3&MEIL VERT BRUT NONLATTE NEMB-4'_704,EPS,0.41,13169.2,0203013MVBN-4'_704
SAPIN 02X06 3&MEIL VERT BRUT LATTE NEMB-10'_160,SAPIN,0.41,13169.2,0206203MVBL-10'_160
EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-9'_320,EPINETTE,0.37,11884.4,0203103MVBL-9'_320
EPINETTE 02X03 3&MEIL VERT BRUT LATTE NEMB-8'_320,EPINETTE,0.37,11884.4,0203103MVBL-8'_320
EPINETTE 02X06 3&MEIL VERT BRUT LATTE NEMB-8'_160,EPINETTE,0.37,11884.4,0206103MVBL-8'_160
SAPIN 02X03 3&MEIL VERT BRUT LATTE NEMB-9'_320,SAPIN,0.37,11884.4,0203203MVBL-9'_320
EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-12'_232,EPINETTE,0.36,11563.2,0106103MVBL-12'_232
SAPIN 04X04 3&MEIL VERT BRUT LATTE NEMB-12'_120,SAPIN,0.35,11242,0404203MVBL-12'_120
EPINETTE 01X03 3&MEIL VERT BRUT LATTE NEMB-14'_464,EPINETTE,0.33,10599.6,0103103MVBL-14'_464
SAPIN 02X03 3&MEIL VERT BRUT LATTE NEMB-8'_320,SAPIN,0.33,10599.6,0203203MVBL-8'_320
EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-14'_232,EPINETTE,0.3,9636,0106103MVBL-14'_232
SAPIN 04X04 3&MEIL VERT BRUT LATTE NEMB-16'_120,SAPIN,0.28,8993.6,0404203MVBL-16'_120
EPINETTE 02X08 3&MEIL VERT BRUT LATTE NEMB-10'_120,EPINETTE,0.28,8993.6,0208103MVBL-10'_120
SAPINLOU 02X04 3&MEIL VERT BRUT LATTE NEMB-8'_240,SAPINLOU,0.28,8993.6,0204213MVBL-8'_240
EPINETTE 02X04 3&MEIL VERT BRUT LATTE NEMB-4'_432,EPINETTE,0.25,8030,0204103MVBL-4'_432
EPS 01X04 3&MEIL VERT BRUT NONLATTE NEMB-5'_1008,EPS,0.25,8030,0104013MVBN-5'_1008
EPS 01X03 3&MEIL VERT BRUT NONLATTE NEMB-5'_672,EPS,0.25,8030,0103013MVBN-5'_672
EPINETTE 01X06 3&MEIL VERT BRUT LATTE NEMB-10'_232,EPINETTE,0.25,8030,0106103MVBL-10'_232
EPINETTE 02X10 3&MEIL VERT BRUT LATTE NEMB-10'_100,EPINETTE,0.24,7708.8,0210103MVBL-10'_100
SAPIN 02X04 3&MEIL VERT BRUT LATTE NEMB-14'_240,SAPIN,0.24,7708.8,0204203MVBL-14'_240
