regle,description,essence,epaisseur,production epinette,production sapin,production mixte,proportion 50/50,temps sechage,sechoir1,sechoir2
0,1x3 epinette 8@16,EPINETTE,1.0,93790,2569,48180,0.018173007026896053,44.0,155000,175000
1,1x3-1x4 epinette 12@16,EPINETTE,1.0,182120,2248,92184,0.03477102011146111,44.0,155000,175000
2,1x4 - 1x6 epinette,EPINETTE,1.0,49786,0,24893,0.009389386963896294,44.0,155000,175000
3,2x3-2x4 epinette 12-14-16,EPINETTE,2.0,659423,96681,378052,0.14259752847104437,44.0,215000,245000
4,2x3-2x4 epinette 6 @ 10,EPINETTE,2.0,490793,200107,345450,0.13030046038284468,44.0,215000,245000
5,2x6 epinette,EPINETTE,2.0,391542,48501,220022,0.0829900654228253,44.0,215000,245000
6,2x8 et 2x10 epinette,EPINETTE,2.0,427517,194968,311242,0.11739762539374848,44.0,215000,245000
7,1x3 sapin,SAPIN,1.0,11242,127516,69379,0.026169130118730313,100.0,155000,175000
8,1x4 - 1x6 sapin,SAPIN,1.0,963,37580,19272,0.00726920281075842,100.0,155000,175000
9,1x4 sapin,SAPIN,1.0,20878,248608,134743,0.050823842985219275,100.0,155000,175000
10,2x3-2x4 sapin 12-14-16,SAPIN,2.0,130086,646896,388491,0.14653501332687183,100.0,215000,245000
11,2x3-2x4 sapin 6@10,SAPIN,2.0,299358,480836,390097,0.1471407802277684,100.0,215000,245000
12,2x6 sapin,SAPIN,2.0,56531,401821,229176,0.08644293675793556,100.0,215000,245000
