regle,temps sechage,volume container 1,volume container 2
2x3-2x4 epinette 6 @ 10,44,215000,245000
2x3-2x4 epinette 12-14-16,48,215000,245000
2x6 epinette,44,215000,245000
2x8 et 2x10 epinette,48,215000,245000
2x3-2x4 sapin 6@10,90,215000,245000
2x3-2x4 sapin 12-14-16,90,215000,245000
2x6 sapin,100,215000,245000
1x4 sapin,44,155000,175000
1x4 - 1x6 sapin,100,155000,175000
1x3 epinette 8@16,44,155000,175000
1x3-1x4 epinette 8@10,44,155000,175000
1x3-1x4 epinette 12@16,44,155000,175000
1x3 sapin,100,155000,175000
