,obs,action
0,"[0.5, 0.0, 0.0, 0.0, 0.01, 0.02, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, 0.03, 0.01, 0.0, 0.3418534503736197, 0.5, 0.5, 0.6178476075317295, 0.6232120442226051]",[ 6 12  1  7 10  3  0  2  8  9 11  4  5]
1,"[0.5, 0.0, 0.0, 0.0, 0.02, 0.02, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, 0.03, 0.01, 0.0, 0.7911566488100235, 0.5, 0.563931223719361, 0.5692956604102366, 0.6660836161876316]",[ 6  1 10  3  7  0  2  8 12  5  9  4 11]
2,"[0.5, 0.0, 0.0, 0.0, 0.02, 0.02, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, 0.02, 0.01, 0.16666666666666666, 0.5896353260095921, 0.5, 0.5, 0.5702661749236833, 0.8926440971975902]",[ 6 10  1  7  0  2  8 12  5  9  3  4 11]
3,"[0.5, 0.0, 0.0, 0.0, 0.02, 0.01, 0.01, 0.0, 0.0, 0.0, 0.01, 0.02, 0.02, 0.01, 0.3333333333333333, 0.3956726879133943, 0.5, 0.5, 0.5, 0.7959196137691339]",[ 6  1 10  7  0  2  8 12  5  9 11  3  4]
4,"[0.5, 0.0, 0.0, 0.0, 0.01, 0.02, 0.01, 0.0, 0.0, 0.0, 0.01, 0.02, 0.02, 0.01, 0.3333333333333333, 0.7506093938784085, 0.5, 0.5, 0.6723306722072752, 0.7533272090533322]",[ 6  1  7  4  0  2  8 12  5  9 11 10  3]
5,"[0.5, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.01, 0.02, 0.03, 0.02, 0.5, 0.5391473358938418, 0.5, 0.5, 0.5777061191654232, 0.6587026560114801]",[ 6  1  3  7  0  2  8 12  5  9 11 10  4]
6,"[0.5, 0.0, 0.01, 0.0, 0.01, 0.02, 0.01, 0.01, 0.0, 0.0, 0.01, 0.02, 0.02, 0.02, 0.6666666666666666, 0.030194113242714593, 0.5, 0.5187805058835585, 0.5997770427296154, 0.6559974636412121]",[ 6  3  1  4  7  0  2  8  5  9 10 12 11]
7,"[0.5, 0.0, 0.01, 0.0, 0.01, 0.02, 0.01, 0.02, 0.0, 0.0, 0.01, 0.02, 0.03, 0.01, 0.6666666666666666, 0.6674140601349071, 0.5, 0.5233106491025523, 0.579531070014149, 0.6645447747496419]",[ 3  6  7  0  2  8  5  9 11 10  4  1 12]
8,"[0.5, 0.0, 0.01, 0.0, 0.02, 0.02, 0.01, 0.02, 0.0, 0.0, 0.01, 0.02, 0.02, 0.01, 0.0, 0.4732802924145716, 0.5, 0.6517575905879789, 0.6881007644434117, 0.7355297511442944]",[ 3  7  0  2 12  8  5 10  9  4  1  6 11]
9,"[0.5, 0.0, 0.01, 0.0, 0.02, 0.02, 0.01, 0.01, 0.0, 0.0, 0.01, 0.02, 0.02, 0.01, 0.0, 0.8129553083053622, 0.5, 0.6109965886810841, 0.6473397625365169, 0.6947687492373995]",[ 7  0  2 12  8  5 11 10  9  3  4  1  6]
10,"[0.5, 0.0, 0.0, 0.0, 0.02, 0.02, 0.01, 0.01, 0.0, 0.0, 0.01, 0.03, 0.02, 0.01, 0.16666666666666666, 0.523917270747352, 0.5620243270434782, 0.5256811531880453, 0.6094533137443608, 0.6346845645069612]",[ 6  7  0  2  8 12  5  9 11 10  3  4  1]
11,"[0.5, 0.0, 0.0, 0.0, 0.02, 0.02, 0.01, 0.01, 0.0, 0.0, 0.01, 0.02, 0.02, 0.01, 0.16666666666666666, 0.84720772473302, 0.5706584592660806, 0.5232294725651979, 0.5958897100286811, 0.977065999070524]",[ 1  6  7  0  2  8 12  5  9 11  3  4 10]
12,"[0.5, 0.0, 0.0, 0.0, 0.02, 0.01, 0.01, 0.01, 0.0, 0.0, 0.01, 0.03, 0.02, 0.01, 0.3333333333333333, 0.6391178370343908, 0.8820367855943596, 0.5, 0.7033569277931286, 0.8983043349114348]",[ 1  7  6  0  2  8 12  5  9 11 10  3  4]
